UserTags,TimeStamps,Tweets,Replys,ReTweets,Likes
,2021-12-09T21:15:15.000Z,Read News: IAF officer was part of rescue mission during 2018 Kerala floods → https://worldmilitarynews.com/u/4PiLj  #WorldMilitaryNews,,1,2
,2022-02-09T05:19:22.000Z,"To Babu’s right in the pic, in army fatigues is Lt Col Hemant Raj, VSM, a hero of the 2018 Kerala floods rescue ops. Was also involved with the rescue effort in the chopper crash involving CDS Rawat. Proud of my schoolmate from Sainik School Kazhakoottam.",4,61,408
,2022-07-29T02:06:20.000Z," I have witnessed tireless work of local governments in rescue & response in 2018 Kerala floods. I have also seen same by gram panchayats in #Chhattisgarh during #COVID 

 Please join today’s YouTube live-streaming of the discussion on this topic, organised by 
@nidmmhaindia",,4,37
,2023-10-18T14:23:12.000Z,"Di Sushant bhaiya ws helping n Kerala flood affected and also donated 1.25 Cr toward relief n 2018!! 

Mele ko jo pata Maine bola ab homework kal ne ja le ho..",1,2,1
,2023-03-07T11:50:37.000Z,"1400 training centers for women skill dev
25000 volunteers in Guj Earthquake 2001
208 relief and medical camps in 2004 tsunami
2009 floods, 100000 essential packages
2013 UK floods, 5000 volunteers 
2015 Chennai floods, 5900 volunteers
2018 Kerala floods, 5000 vol, 10 blood 2n.",1,,3
,2023-07-12T11:02:01.000Z,Are there any organisations sending  relief to people in Himachal affected by the flood? Believe no power in many areas. Shocked by the stories of devastation one is hearing and reminded of Kerala in 2018.,3,2,7
,2023-10-29T07:44:02.000Z,"Some folks in Kerala were thanking Arab leaders for so called relief during floods only to learn that nothing of that sort had happened. https://opindia.com/2018/08/fact-check-did-pm-modi-thank-hh-sheikh-mohammed-for-rs-700-crore-aid-to-kerala/…

What slave mentality is leading to this thought of denigrating one’s own motherland & support terror org like hamas",,,
,2023-06-03T08:13:09.000Z,"During flood relief operations in 2018 Kerala, some IAS officers were serving food to the victims at the camps.
Thats the mallu culture. Only manual labour is valued.",,,1
,2023-01-22T17:27:21.000Z,"I'm a flood affected person. Those who have survived and experienced 2018 kerala flood can't see such posts without shedding a year . 400+ death, over 11000 + people lost their everything , 1000000+ people in relief camps. Thanks to Indian Army ,fisher man, our state",1,,
,2023-05-08T23:39:41.000Z,"Modi govt rejected Kerala Govt's request to receive foreign aids to tackle situation arising out of devastating flood in 2018.

Today how come Modi received foreign aid for a PRIVATE FUND called #PMCaresFund ?

Look how a cunning, fascist and sadist fellow he is!",,,
,2023-10-29T07:44:02.000Z,"Some folks in Kerala were thanking Arab leaders for so called relief during floods only to learn that nothing of that sort had happened. https://opindia.com/2018/08/fact-check-did-pm-modi-thank-hh-sheikh-mohammed-for-rs-700-crore-aid-to-kerala/…

What slave mentality is leading to this thought of denigrating one’s own motherland & support terror org like hamas",,,
,2024-04-15T11:20:44.000Z,"People of Kerala will not forget that during the devastating floods of 2018, UAE offered a huge aid package to Kerala - but Chowkidar Modi prevented Kerala from receiving it.",,,
,2024-04-14T05:36:06.000Z,"I've taken some inputs from 
@NehaKoppula
 tweet. This act is what I love about Kerala. During the 2018 floods, when the Center refused foreign aid & cautioned those who were willing to help, the Keralites were in one accord helping/rescuing others. This is the real #KeralaStory",1,19,135
